,Province/State,Country/Region,Lat,Long,date,confirmed_cases,deaths_cases,recovered_cases,Anual Average Temperature (C),Anual Average High Temperature (C),Anual Average Low Temperature (C),Month Average Temperature (C),Month Average High Temperature (C),Month Average Low Temperature (C)
123,,Guinea,9.9456,-9.6966,1/22/20,0,0,0,25.61111111,29.83333333,22.83333333,24.44444444,30.22222222,20.83333333
124,,Guyana,5,-58.75,1/22/20,0,0,0,26.27777778,30.33333333,22.05555556,25.72222222,29.44444444,21.5
125,,Haiti,18.9712,-72.2852,1/22/20,0,0,0,24.83333333,29.27777778,20.44444444,22.83333333,27.55555556,18.33333333
126,,Holy See,41.9029,12.4534,1/22/20,0,0,0,15.55555556,20,11.11111111,8.333333333,12.77777778,3.888888889
127,,Honduras,15.2,-86.2419,1/22/20,0,0,0,25.44444444,29.44444444,23.33333333,23.94444444,27.72222222,21.77777778
128,,Hungary,47.1625,19.5033,1/22/20,0,0,0,10.16666667,14.61111111,5.944444444,-1,1.444444444,-3.722222222
129,,Iceland,64.9631,-19.0208,1/22/20,0,0,0,3.611111111,6.166666667,1.222222222,-1.555555556,0.666666667,-3.777777778
130,,India,21,78,1/22/20,0,0,0,24.22222222,29.88888889,18.61111111,17.33333333,23.94444444,10.72222222
131,,Indonesia,-0.7893,113.9213,1/22/20,0,0,0,26.33333333,30.38888889,22.38888889,26.11111111,29.88888889,22.66666667
132,,Iran,32,53,1/22/20,0,0,0,16.16666667,22.66666667,10.33333333,3.5,8.444444444,-1.111111111
133,,Iraq,33,44,1/22/20,0,0,0,22.44444444,29.33333333,16.11111111,9.333333333,14.16666667,4.5
134,,Ireland,53.1424,-7.6921,1/22/20,0,0,0,9.666666667,12.88888889,6.666666667,5.444444444,8.111111111,2.944444444
135,,Israel,31,35,1/22/20,0,0,0,19.33333333,25.11111111,14.27777778,11.27777778,15.55555556,7.055555556
136,,Italy,43,12,1/22/20,0,0,0,13.5,17.66666667,9.5,5.666666667,9,2.555555556
137,,Jamaica,18.1096,-77.2975,1/22/20,0,0,0,25.38888889,29.5,22.55555556,24.16666667,28.27777778,20.72222222
138,,Japan,36,138,1/22/20,2,0,0,13.94444444,17.72222222,10.16666667,3.944444444,7.555555556,0.222222222
139,,Jordan,31.24,36.51,1/22/20,0,0,0,18.61111111,24.11111111,13.83333333,8.944444444,12.72222222,4.611111111
140,,Kazakhstan,48.0196,66.9237,1/22/20,0,0,0,5.944444444,11.22222222,-0.166666667,-11.83333333,-8.111111111,-17.11111111
141,,Kenya,-0.0236,37.9062,1/22/20,0,0,0,20.83333333,27.16666667,16.27777778,21.33333333,28.33333333,16.11111111
142,,"Korea, South",36,128,1/22/20,1,0,0,,,,,,
143,,Kuwait,29.5,47.75,1/22/20,0,0,0,24.66666667,31.94444444,18.88888889,12.16666667,16.94444444,7.222222222
144,,Kyrgyzstan,41.2044,74.7661,1/22/20,0,0,0,8.277777778,13,0.944444444,-7.055555556,-3.388888889,-13.72222222
145,,Latvia,56.8796,24.6032,1/22/20,0,0,0,6.055555556,9.333333333,3.444444444,-3.444444444,-1,-5.222222222
146,,Lebanon,33.8547,35.8623,1/22/20,0,0,0,15.88888889,19.77777778,11.66666667,8.111111111,11.11111111,4.444444444
147,,Liberia,6.4281,-9.4295,1/22/20,0,0,0,25.11111111,29.94444444,22.5,24.72222222,31.05555556,21.94444444
148,,Liechtenstein,47.14,9.55,1/22/20,0,0,0,9.833333333,13.83333333,5.722222222,0.388888889,2.777777778,-2.777777778
149,,Lithuania,55.1694,23.8813,1/22/20,0,0,0,6.333333333,9.777777778,2.722222222,-4.277777778,-2.111111111,-6.777777778
150,,Luxembourg,49.8153,6.1296,1/22/20,0,0,0,8.166666667,12.55555556,5.111111111,0.055555556,2.111111111,-2.055555556
151,,Madagascar,-18.7669,46.8691,1/22/20,0,0,0,21.88888889,26.72222222,17.94444444,24.16666667,28.61111111,20.72222222
152,,Malaysia,2.5,112.5,1/22/20,0,0,0,26.27777778,30.38888889,22.44444444,25.88888889,29.66666667,22.22222222
153,,Maldives,3.2028,73.2207,1/22/20,0,0,0,27.83333333,30.33333333,25.33333333,27.61111111,30,25
154,,Malta,35.9375,14.3754,1/22/20,0,0,0,18.72222222,22.38888889,15.05555556,12.44444444,15,9.555555556
155,,Mauritania,21.0079,10.9408,1/22/20,0,0,0,,,,,,
156,,Mauritius,-20.2,57.5,1/22/20,0,0,0,23.77777778,26.44444444,20.94444444,26.11111111,28.83333333,23.38888889
157,,Mexico,23.6345,-102.5528,1/22/20,0,0,0,20.61111111,28.05555556,13.11111111,16.16666667,24.11111111,8.277777778
158,,Moldova,47.4116,28.3699,1/22/20,0,0,0,9.722222222,14.22222222,5.333333333,-3,0.111111111,-6.111111111
159,,Monaco,43.7333,7.4167,1/22/20,0,0,0,14.77777778,17,10.11111111,8.388888889,9.722222222,3.222222222
160,,Mongolia,46.8625,103.8467,1/22/20,0,0,0,-0.666666667,6.333333333,-7.055555556,-21,-14.38888889,-26.77777778
161,,Montenegro,42.5,19.3,1/22/20,0,0,0,12.88888889,17.16666667,8.444444444,4,7.222222222,0.277777778
162,,Morocco,31.7917,-7.0926,1/22/20,0,0,0,17.5,22.88888889,12.55555556,11.16666667,16.05555556,6.388888889
163,,Namibia,-22.9576,18.4904,1/22/20,0,0,0,20.16666667,25.72222222,13.83333333,24.05555556,28.05555556,18.05555556
164,,Nepal,28.1667,84.25,1/22/20,0,0,0,18.72222222,24,11.77777778,9.944444444,16.33333333,1.777777778
165,Aruba,Netherlands,12.5186,-70.0358,1/22/20,0,0,0,9.555555556,12.83333333,6.5,2.444444444,4.555555556,0.611111111
166,Curacao,Netherlands,12.1696,-68.99,1/22/20,0,0,0,9.555555556,12.83333333,6.5,2.444444444,4.555555556,0.611111111
167,Sint Maarten,Netherlands,18.0425,-63.0548,1/22/20,0,0,0,9.555555556,12.83333333,6.5,2.444444444,4.555555556,0.611111111
168,,Netherlands,52.1326,5.2913,1/22/20,0,0,0,9.555555556,12.83333333,6.5,2.444444444,4.555555556,0.611111111
169,,New Zealand,-40.9006,174.886,1/22/20,0,0,0,12.22222222,16.88888889,7.611111111,16.94444444,22,11.83333333
170,,Nicaragua,12.8654,-85.2072,1/22/20,0,0,0,25.88888889,29.72222222,23.77777778,25.22222222,28.61111111,22.38888889
171,,Niger,17.6078,8.0817,1/22/20,0,0,0,28.33333333,34.66666667,22.27777778,22.11111111,28.38888889,15.22222222
172,,Nigeria,9.082,8.6753,1/22/20,0,0,0,26.72222222,31.16666667,22,24.83333333,30.72222222,19.11111111
