Continent,Country,Date of First Case(s),Last_Country,Confirmed Case(s) at First Day,Age of First Case(s),Date of First Death(s),Age of First Death(s)
Europe,North Macedonia,26-Feb-20,Italy,1,49,22-Mar-20,57
Europe,Greece,26-Feb-20,Italy,1,38,12-Mar-20,66
Europe,Romania,26-Feb-20,Italy,1,No Trace,22-Mar-20,67
Europe,Finland,26-Feb-20,Italy,1,No Trace,20-Mar-20,No Trace
Asia,Qatar,27-Feb-20,Iran,1,36,28-Mar-20,57
Europe,Estonia,27-Feb-20,Iran,1,No Trace,25-Mar-20,83
Africa,Nigeria,27-Feb-20,Italy,1,No Trace,23-Mar-20,67
Europe,Netherlands,27-Feb-20,Italy,1,56,06-Mar-20,86
Europe,San Marino,27-Feb-20,Italy,1,88,01-Mar-20,88
Europe,Denmark,27-Feb-20,Italy,1,No Trace,12-Mar-20,No Trace
"Asia, Europe",Azerbaijan,28-Feb-20,Iran,1,No Trace,12-Mar-20,51
Europe,Belarus,28-Feb-20,Iran,1,No Trace,31-Mar-20,75
Australia,New Zealand,28-Feb-20,Indonesia,1,60+,29-Mar-20,70+
North America,Mexico,28-Feb-20,Italy,3,"35,59,41",18-Mar-20,41
Europe,Iceland,28-Feb-20,Italy,1,40+,24-Mar-20,70
Europe,Lithuania,28-Feb-20,Italy,1,39,20-Mar-20,83
Europe,Luxembourg,29-Feb-20,Italy,1,40+,13-Mar-20,94
Europe,Ireland,29-Feb-20,Italy,1,No Trace,11-Mar-20,No Trace
Europe,Monaco,29-Feb-20,No Trace,1,No Trace,28-Mar-20,No Trace
South America,Ecuador,29-Feb-20,Spain,1,70+,14-Mar-20,No Trace
Asia,Armenia,01-Mar-20,Iran,1,29,26-Mar-20,72
North America,Dominican Republic,01-Mar-20,Italy,1,63,16-Mar-20,47
Europe,Czech Republic,01-Mar-20,Italy,3,No Trace,23-Mar-20,95
Africa,Senegal,02-Mar-20,France,1,54,01-Apr-20,68
Asia,Saudi Arabia,02-Mar-20,Bahrain,1,No Trace,23-Mar-20,51
Africa,Tunisia,02-Mar-20,Italy,1,40,19-Mar-20,72
Europe,Andorra,02-Mar-20,Italy,1,20,22-Mar-20,88
Africa,Morocco,02-Mar-20,Italy,1,No Trace,10-Mar-20,89
Europe,Latvia,02-Mar-20,Italy,1,99,03-Apr-20,99
Asia,Jordan,02-Mar-20,Italy ,1,No Trace,28-Mar-20,83
Europe,Portugal,02-Mar-20,Spain,2,"60,33",16-Mar-20,80
Asia,Indonesia,02-Mar-20,Japan,2,"64,31",11-Mar-20,53
South America,Argentina,03-Mar-20,Italy,1,43,08-Mar-20,64
South America,Chile,03-Mar-20,Italy,1,33,22-Mar-20,83
Europe,Ukraine,03-Mar-20,Romania ,1,No Trace,13-Mar-20,71
Europe,Liechtenstein,03-Mar-20,Switzerland,1,No Trace,04-Apr-20,No Trace
Europe,Poland,04-Mar-20,Germany,1,57,12-Mar-20,57
Europe,Hungary,04-Mar-20,Iran,2,No Trace,15-Mar-20,75
Europe,Slovenia,04-Mar-20,Italy,1,No Trace,14-Mar-20,No Trace
Asia,West Bank and Gaza,05-Mar-20,Egypt,7,No Trace,25-Mar-20,60
Africa,South Africa,05-Mar-20,Italy,1,38,27-Mar-20,48
Europe,Bosnia and Herzegovina,05-Mar-20,Italy,2,No Trace,23-Mar-20,No Trace
Europe,Vatican City,05-Mar-20,No Trace,1,No Trace,No death till 16 May 2020,N/A
Africa,Togo,06-Mar-20,Turkey,1,42,27-Mar-20,No Trace
Africa,Cameroon,06-Mar-20,France,1,58,24-Mar-20,No Trace
Europe,Serbia,06-Mar-20,Hungary,1,43,20-Mar-20,59
Asia,Bhutan,06-Mar-20,India,1,76,No death till 16 May 2020,N/A
South America,Colombia,06-Mar-20,Italy,1,19,22-Mar-20,58
Europe,Slovakia,06-Mar-20,Italy,1,52,30-Mar-20,60
South America,Peru,06-Mar-20,Czech Republic,1,25,19-Mar-20,78
North America,Costa Rica,06-Mar-20,United States of America,1,49,18-Mar-20,87
South America,Paraguay,07-Mar-20,Ecuador,1,32,20-Mar-20,No Trace
Europe,Moldova,07-Mar-20,Italy,1,48,18-Mar-20,61
Asia,Maldives,07-Mar-20,Italy,2,No Trace,30-Apr-20,83
Europe,Malta,07-Mar-20,Italy,3,12,08-Apr-20,92
Asia,Bangladesh,08-Mar-20,Italy,3,Unspecified,18-Mar-20,70+
Asia,Bulgaria,08-Mar-20,N/A,4,"27, 25, No Trace, No Trace",11-Mar-20,66
Africa,Burkina Faso,09-Mar-20,France,2,No Trace,19-Mar-20,62
